김학용,자유한국당,3선의원\n1988년 국회 비서관으로 정치에 입문했습니다\n18년 상반기 국회 국방위원장을 역임했습니다\n사법시험 존치법안을 19대와 20대 국회에서 연속으로 발의했습니다\n중앙대 안성캠퍼스의 이전을 반대했습니다\n재산은 18억 6520만원입니다
한정애,더불어민주당,재선의원\n한국노총 대외협력본부장을 역임했습니다\n최저임금제에 상여금과 복리후생금을 포함하는 법안을 통과시켰습니다\n동물보호법을 강화하는 법률개정안을 발의했습니다\n재산은 8억 1046만원입니다
임이자,자유한국당,초선의원\n한국노총 부위원장을 역임했습니다\n같은 당 이철우 의원이 고등학교 은사입니다\n재산은 6억 3818만원입니다
김동철,바른미래당,"4선의원\n 현재 바른미래당 비상대책위원장입니다\n19대 국회에서 산업통상자원위원회 위원장, 교통위원회 위원장을 역임했습니다\n재산은 27억 4591만원입니다"
김태년,더불어민주당,3선의원\n더불어민주당의 정책위원회 의장직을 맡고 있습니다\n정보위원회 위원을 겸임하고 있습니다\n경희대 총학생회장이었습니다\n재산은 6억 7061만원입니다
설훈,더불어민주당,4선의원\n최근 더불어민주당 최고위원으로 선출되었습니다\n20대 국회 상반기에 농림축산식품해양수산위원회 위원장을 역임했습니다\nEBS에 출연하여 독서의 중요성을 강조한 바 있습니다\n재산은 5억 1099만원입니다
송옥주,더불어민주당,초선의원\n더불어민주당의 대변인입니다\n재산은 4억 8121만원입니다
윤호중,더불어민주당,3선의원\n예산결산특별위원회 간사를 겸임하고 있습니다\n김대중 정부 당시 대통령비서실 행정관을 역임했습니다\n문재인정부의 대일특사단으로 파견되었습니다\n재산은 14억 9904만원입니다
이용득,더불어민주당,초선의원\n한국노총 위원장을 역임했습니다\n재산은 31억 1943만원입니다
전현희,더불어민주당,"재선의원\n한국 최초의 치과의사 출신 변호사입니다\n4권역(강남구, 서초구)에서 24년만에 당선된 민주당계 정당 소속 국회의원입니다\n선거운동 당시 해바라기를 브로치처럼 달고 활동했으며 공보물의 사진에도 해바라기를 넣었습니다\n재산은 12억 1265만원입니다"
강효상,자유한국당,"초선의원\n조선일보 편집국장, TV조선 보도본부장, 조선비즈 대표를 역임했습니다\n재산은 30억 9668만원입니다"
문진국,자유한국당,"초선의원\n전국택시노조 위원장, 한국노총 위원장을 역임했습니다\n재산은 10억 9489만원입니다"
신보라,자유한국당,초선의원\n'청년이 여는 미래' 대표 출신 청년 운동가입니다\n현재 임신중입니다\n국회에서 두 번째로 나이가 어립니다\n재산은 4억 3110만원입니다
이장우,자유한국당,재선의원\n이양희 국회의원의 보자관으로 정치에 입문했습니다\n대전대학교 총학생회장이었습니다\n대전 동구청장 재임 당시 공문서위조죄로 벌금 150만원을 선고받았습니다\n재산은 11억 4479만원입니다
이상돈,바른미래당,초선의원\n중앙대학교 법과대학 교수를 역임했습니다\n8년간 조선일보 비상임 논설위원을 지냈습니다\n개를 가축에서 제외시키는 축산법 개정안을 발의했습니다\n재산은 13억 998만원입니다
이정미,정의당,초선의원\n정의당의 당대표입니다\n키가 175cm로 추정되며 매우 큰 편입니다\n무한도전 국민의원 편에 출연한 바 있습니다\n스스로를 페미니스트 당대표로 지칭하고 있습니다\n소수자 문제에 관심을 보이며 차별금지법 입안을 주장하고 있습니다\n재산은 2억 4329만원입니다
